date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:44	17696/17696	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3b187c-4520%22	https://cdn.tynt.com/tc.js	C:/Mis%20lugares%20Web/Farm/cdn.tynt.com/tc.js	(from http://waust.at/d.js)
12:49:44	35/35	---M--	200	added ('OK')	text/html	date:Sat,%2011%20Jan%202020%2003:09:08%20GMT	https://diamantesff.com/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/f54912a450ab14a413d3e0e8e9e07157	C:/Mis%20lugares%20Web/Farm/diamantesff.com/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/f54912a450ab14a413d3e0e8e9e07157.html	(from https://diamantesff.com/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/rt=ifr.html)
12:49:45	181114/181114	---M--	200	added ('OK')	application/javascript	date:Sat,%2011%20Jan%202020%2003:08:38%20GMT	https://diamantesff.com/wattspart_files/materialize.min.js.download	C:/Mis%20lugares%20Web/Farm/diamantesff.com/wattspart_files/materialize.min.js.download	(from https://diamantesff.com/wattspart.html)
12:49:46	86929/86929	---M--	200	added ('OK')	application/javascript	date:Sat,%2011%20Jan%202020%2003:09:44%20GMT	https://diamantesff.com/subpart_files/jquery.min.js.download	C:/Mis%20lugares%20Web/Farm/diamantesff.com/subpart_files/jquery.min.js.download	(from https://diamantesff.com/subpart.html)
12:49:46	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:31:42%20GMT	https://diamantesff.com/subpart_files/cssaa28aa28.css	C:/Mis%20lugares%20Web/Farm/diamantesff.com/subpart_files/cssaa28aa28.css	(from https://diamantesff.com/subpart.html)
12:49:46	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:31:42%20GMT	https://diamantesff.com/subpart_files/icone91fe91f.css	C:/Mis%20lugares%20Web/Farm/diamantesff.com/subpart_files/icone91fe91f.css	(from https://diamantesff.com/subpart.html)
12:49:46	141842/141842	---M--	200	added ('OK')	text/css	date:Sat,%2011%20Jan%202020%2003:09:44%20GMT	https://diamantesff.com/subpart_files/materialize.min.css	C:/Mis%20lugares%20Web/Farm/diamantesff.com/subpart_files/materialize.min.css	(from https://diamantesff.com/subpart.html)
12:49:47	17051/17051	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Jan%202020%2006:37:16%20GMT	https://diamantesff.com/subpart_files/sub.png	C:/Mis%20lugares%20Web/Farm/diamantesff.com/subpart_files/sub.png	(from https://diamantesff.com/subpart.html)
12:49:48	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:31:42%20GMT	https://diamantesff.com/subpart_files/s.js.download	C:/Mis%20lugares%20Web/Farm/diamantesff.com/subpart_files/s.js.download	(from https://diamantesff.com/subpart.html)
12:49:48	46035/46035	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Jan%202020%2003:09:44%20GMT	https://diamantesff.com/subpart_files/sino.png	C:/Mis%20lugares%20Web/Farm/diamantesff.com/subpart_files/sino.png	(from https://diamantesff.com/subpart.html)
12:49:50	181114/181114	---M--	200	added ('OK')	application/javascript	date:Sat,%2011%20Jan%202020%2003:09:44%20GMT	https://diamantesff.com/subpart_files/materialize.min.js.download	C:/Mis%20lugares%20Web/Farm/diamantesff.com/subpart_files/materialize.min.js.download	(from https://diamantesff.com/subpart.html)
